video,duration,num_frames_used,frame_latency_s,frame_cost_usd,frame_topic_match,frame_brand_match,frame_cta,frame_error,native_latency_s,native_cost_usd,native_topic_match,native_brand_match,native_cta,native_error
v0021.mp4,14.7,14,13.28,0.00221,,,True,,95.98,0.0153,,,True,
v0004.mp4,13.73,13,11.33,0.00209,,,False,,25.62,0.01433,,,False,
v0001.mp4,15.02,15,13.84,0.00232,,,False,,12.68,0.01562,,,True,
v0009.mp4,15.01,15,11.73,0.00232,,,False,,12.17,0.01561,,,True,
v0008.mp4,13.47,13,10.72,0.00209,,,False,,52.95,0.01407,,,True,
v0019.mp4,14.9,14,13.43,0.00221,,,False,,91.0,0.0155,,,True,
v0005.mp4,15.02,15,10.11,0.00232,,,False,,84.29,0.01562,,,False,
v0012.mp4,11.93,11,10.05,0.00186,,,False,,11.98,0.01253,,,False,
v0020.mp4,15.01,15,11.07,0.00232,,,True,,12.74,0.01561,,,True,
v0002.mp4,15.02,15,13.09,0.00232,,,True,,10.49,0.01562,,,True,
v0010.mp4,15.0,15,12.69,0.00232,,,False,,44.83,0.0156,,,True,
v0007.mp4,12.03,12,9.6,0.00198,,,False,,88.31,0.01263,,,True,
v0023.mp4,7.97,7,8.54,0.0014,,,True,,87.7,0.00857,,,True,
v0013.mp4,14.9,14,10.96,0.00221,,,False,,48.59,0.0155,,,True,
v0018.mp4,15.01,15,14.23,0.00232,,,False,,26.18,0.01561,,,True,
v0014.mp4,15.4,15,10.62,0.00232,,,False,,11.59,0.016,,,False,
v0006.mp4,11.13,11,13.45,0.00186,,,False,,11.52,0.01173,,,True,
v0015.mp4,15.01,15,13.22,0.00232,,,False,,11.65,0.01561,,,True,
v0003.mp4,15.0,15,13.11,0.00232,,,True,,10.05,0.0156,,,True,
v0016.mp4,15.23,15,16.45,0.00232,,,True,,9.96,0.01583,,,True,
v0017.mp4,15.47,15,10.31,0.00232,,,True,,79.61,0.01607,,,True,
