video,duration_s,cascade_latency_s,cascade_cost_usd,adaframe_frames,uniform_frames,vlm_cost_adaframe,vlm_cost_uniform,total_adaframe,total_uniform,net_saving_usd,saving_pct
-U3LjDN8ErI.mp4,20.0,38.36,0.005328,18,20,0.207,0.23,0.2123,0.23,0.0177,7.7
-DFuMqROFCQ.mp4,32.9,54.0,0.007499,10,32,0.115,0.368,0.1225,0.368,0.2455,66.7
-KSKkmypTZM.mp4,16.7,59.1,0.008209,4,16,0.046,0.184,0.0542,0.184,0.1298,70.5
-1yXdOufzKE.mp4,30.0,66.28,0.009205,9,29,0.1035,0.3335,0.1127,0.3335,0.2208,66.2
-XidtaAetyQ.mp4,17.0,51.88,0.007205,5,17,0.0575,0.1955,0.0647,0.1955,0.1308,66.9
-VmCOAGhHkM.mp4,86.8,142.08,0.019734,12,86,0.138,0.989,0.1577,0.989,0.8313,84.1
-UGQp9pfU_Q.mp4,69.5,157.01,0.021807,44,69,0.506,0.7935,0.5278,0.7935,0.2657,33.5
-HWd3Nqu8_0.mp4,60.1,210.94,0.029297,40,60,0.46,0.69,0.4893,0.69,0.2007,29.1
-XzQcpcgCKY.mp4,28.3,97.97,0.013607,31,28,0.3565,0.322,0.3701,0.322,-0.0481,-14.9
-aR3Gpsn4v4.mp4,30.7,20.9,0.002903,5,30,0.0575,0.345,0.0604,0.345,0.2846,82.5
-5X2kzIDroA.mp4,60.1,225.97,0.031385,41,60,0.4715,0.69,0.5029,0.69,0.1871,27.1
-c7Ca2CY6x8.mp4,39.2,23.49,0.003263,12,39,0.138,0.4485,0.1413,0.4485,0.3072,68.5
-iKqr230U9M.mp4,22.0,19.09,0.002651,5,21,0.0575,0.2415,0.0602,0.2415,0.1813,75.1
-kwRrnS5vV4.mp4,20.4,30.26,0.004203,14,20,0.161,0.23,0.1652,0.23,0.0648,28.2
-ijH3cRJ1BY.mp4,30.2,37.84,0.005255,23,30,0.2645,0.345,0.2698,0.345,0.0752,21.8
-5zYYZpuTbU.mp4,32.7,262.79,0.036499,24,32,0.276,0.368,0.3125,0.368,0.0555,15.1
-g8vTq06KUI.mp4,20.2,54.42,0.007558,17,20,0.1955,0.23,0.2031,0.23,0.0269,11.7
-usbQDfTIqE.mp4,30.1,39.57,0.005496,12,30,0.138,0.345,0.1435,0.345,0.2015,58.4
-rYZwYEpCds.mp4,48.5,77.92,0.010822,18,48,0.207,0.552,0.2178,0.552,0.3342,60.5
-nYhixp7bXI.mp4,30.0,87.44,0.012144,22,30,0.253,0.345,0.2651,0.345,0.0799,23.1
0A43tb18T8Y.mp4,31.9,68.39,0.009498,24,31,0.276,0.3565,0.2855,0.3565,0.071,19.9
-xK80YG33q0.mp4,51.1,141.51,0.019654,11,51,0.1265,0.5865,0.1462,0.5865,0.4403,75.1
08ySTcxh_cU.mp4,32.5,104.5,0.014514,20,32,0.23,0.368,0.2445,0.368,0.1235,33.6
-wXjs6DXoeY.mp4,79.7,186.74,0.025936,17,79,0.1955,0.9085,0.2214,0.9085,0.6871,75.6
0B79RkBxSgU.mp4,30.9,83.07,0.011537,24,30,0.276,0.345,0.2875,0.345,0.0575,16.7
0AHGLGQgAn8.mp4,30.1,126.59,0.017581,20,30,0.23,0.345,0.2476,0.345,0.0974,28.2
064ipuBiWDg.mp4,78.6,247.11,0.034321,26,78,0.299,0.897,0.3333,0.897,0.5637,62.8
07i6PO1gP10.mp4,78.5,255.3,0.035459,21,78,0.2415,0.897,0.277,0.897,0.62,69.1
0-U4Yr9UNBo.mp4,60.2,272.62,0.037863,43,60,0.4945,0.69,0.5324,0.69,0.1576,22.8
0P3A6V_sDSI.mp4,32.0,54.33,0.007546,19,32,0.2185,0.368,0.226,0.368,0.142,38.6
0gYBy1rECII.mp4,15.0,35.52,0.004934,3,15,0.0345,0.1725,0.0394,0.1725,0.1331,77.1
0UoJyED73bQ.mp4,60.1,103.29,0.014346,19,60,0.2185,0.69,0.2328,0.69,0.4572,66.3
0G7g9lw20l4.mp4,59.7,201.93,0.028046,33,59,0.3795,0.6785,0.4075,0.6785,0.271,39.9
-GXvYexMoZY.mp4,90.3,647.17,0.089884,81,90,0.9315,1.035,1.0214,1.035,0.0136,1.3
0eN9KP6lOZs.mp4,60.3,105.31,0.014627,59,60,0.6785,0.69,0.6931,0.69,-0.0031,-0.5
0cP-qr1JUBI.mp4,94.6,130.53,0.018129,74,94,0.851,1.081,0.8691,1.081,0.2119,19.6
0rFt8QE4lkQ.mp4,17.0,29.1,0.004042,10,16,0.115,0.184,0.119,0.184,0.065,35.3
0jBFyck8J5A.mp4,30.0,42.14,0.005853,8,30,0.092,0.345,0.0979,0.345,0.2471,71.6
0tteHhYh9rU.mp4,40.0,32.26,0.00448,16,40,0.184,0.46,0.1885,0.46,0.2715,59.0
0gjRzLqXijQ.mp4,35.5,88.71,0.012321,27,35,0.3105,0.4025,0.3228,0.4025,0.0797,19.8
14X98i8psts.mp4,15.1,33.25,0.004619,6,15,0.069,0.1725,0.0736,0.1725,0.0989,57.3
0A_35Z4eQfg.mp4,51.1,320.95,0.044576,43,51,0.4945,0.5865,0.5391,0.5865,0.0474,8.1
19EW551nCS4.mp4,30.2,66.73,0.009268,12,30,0.138,0.345,0.1473,0.345,0.1977,57.3
111MTs7MGuw.mp4,62.1,134.6,0.018694,9,62,0.1035,0.713,0.1222,0.713,0.5908,82.9
17j5QzF3kqE.mp4,71.4,150.04,0.020839,12,71,0.138,0.8165,0.1588,0.8165,0.6577,80.5
1DHo8fYFsd0.mp4,30.0,154.4,0.021444,22,30,0.253,0.345,0.2744,0.345,0.0706,20.5
1GvKSd5g8eA.mp4,15.0,42.76,0.005939,9,15,0.1035,0.1725,0.1094,0.1725,0.0631,36.6
0ji_-OJlVbI.mp4,109.1,247.17,0.034329,52,109,0.598,1.2535,0.6323,1.2535,0.6212,49.6
1SlSxuhLJVE.mp4,39.7,33.26,0.004619,10,39,0.115,0.4485,0.1196,0.4485,0.3289,73.3
1KkVdbUr250.mp4,15.0,51.61,0.007168,8,15,0.092,0.1725,0.0992,0.1725,0.0733,42.5
0QkZL3l1t-w.mp4,109.4,423.56,0.058828,83,109,0.9545,1.2535,1.0133,1.2535,0.2402,19.2
1AIDh3-sGW0.mp4,105.1,311.82,0.043308,31,105,0.3565,1.2075,0.3998,1.2075,0.8077,66.9
1Fki1SJ17kQ.mp4,90.2,214.44,0.029783,48,90,0.552,1.035,0.5818,1.035,0.4532,43.8
1Pahqq-1hp0.mp4,59.8,155.65,0.021619,37,59,0.4255,0.6785,0.4471,0.6785,0.2314,34.1
1TS0yS0sUaM.mp4,73.7,148.84,0.020673,47,73,0.5405,0.8395,0.5612,0.8395,0.2783,33.2
1WlRcXIO5ik.mp4,60.0,114.25,0.015868,59,59,0.6785,0.6785,0.6944,0.6785,-0.0159,-2.3
1USbTGYv9ZM.mp4,97.1,133.67,0.018565,10,97,0.115,1.1155,0.1336,1.1155,0.9819,88.0
1dc1eKHgy_o.mp4,30.2,31.66,0.004397,12,30,0.138,0.345,0.1424,0.345,0.2026,58.7
1fqAvkpW5yY.mp4,15.0,48.2,0.006694,10,15,0.115,0.1725,0.1217,0.1725,0.0508,29.5
1sElYG7LmUU.mp4,90.0,28.36,0.003938,10,90,0.115,1.035,0.1189,1.035,0.9161,88.5
1qB0lb401ZU.mp4,56.0,42.58,0.005913,15,55,0.1725,0.6325,0.1784,0.6325,0.4541,71.8
1j6YA03hm4k.mp4,31.7,59.55,0.008271,27,31,0.3105,0.3565,0.3188,0.3565,0.0377,10.6
1vtcf13zT08.mp4,30.0,17.0,0.002362,5,30,0.0575,0.345,0.0599,0.345,0.2851,82.6
23kdGfzDaCs.mp4,15.1,26.53,0.003685,13,15,0.1495,0.1725,0.1532,0.1725,0.0193,11.2
1KPPtmE079M.mp4,61.4,268.27,0.037259,48,61,0.552,0.7015,0.5893,0.7015,0.1122,16.0
1Yq6W7YAHM4.mp4,80.5,107.27,0.014898,31,80,0.3565,0.92,0.3714,0.92,0.5486,59.6
28pbk_cQx-w.mp4,45.0,36.52,0.005072,12,45,0.138,0.5175,0.1431,0.5175,0.3744,72.4
1krJqn3smbI.mp4,68.2,121.37,0.016857,44,68,0.506,0.782,0.5229,0.782,0.2591,33.1
29GrCUTdu3A.mp4,45.1,52.23,0.007254,33,45,0.3795,0.5175,0.3868,0.5175,0.1307,25.3
1w1myYavVsE.mp4,43.3,92.01,0.012779,4,43,0.046,0.4945,0.0588,0.4945,0.4357,88.1
2G0loI0Jn5M.mp4,30.4,33.99,0.004722,8,30,0.092,0.345,0.0967,0.345,0.2483,72.0
2MwarUSvaLM.mp4,31.8,21.01,0.002917,5,31,0.0575,0.3565,0.0604,0.3565,0.2961,83.1
2Dq2-98HliQ.mp4,30.1,49.09,0.006819,19,30,0.2185,0.345,0.2253,0.345,0.1197,34.7
1u28Z6RM-FY.mp4,69.0,127.72,0.017739,30,68,0.345,0.782,0.3627,0.782,0.4193,53.6
2S2VUCdbhg0.mp4,30.6,20.34,0.002826,8,30,0.092,0.345,0.0948,0.345,0.2502,72.5
2Jhrr4RRywE.mp4,30.0,66.03,0.009171,31,30,0.3565,0.345,0.3657,0.345,-0.0207,-6.0
287EUNf3yAk.mp4,30.0,132.04,0.018339,24,30,0.276,0.345,0.2943,0.345,0.0507,14.7
2RHEjneBRak.mp4,36.0,37.5,0.005208,18,35,0.207,0.4025,0.2122,0.4025,0.1903,47.3
2_M0SDk3ZaM.mp4,40.0,23.3,0.003237,11,40,0.1265,0.46,0.1297,0.46,0.3303,71.8
2evNRe8LF_o.mp4,20.0,25.74,0.003575,12,20,0.138,0.23,0.1416,0.23,0.0884,38.4
2T-AxWMZBfU.mp4,45.2,57.82,0.008031,25,45,0.2875,0.5175,0.2955,0.5175,0.222,42.9
2j4RF6cx0SY.mp4,30.0,54.27,0.007538,6,30,0.069,0.345,0.0765,0.345,0.2685,77.8
2o1TA0PG6pA.mp4,15.0,53.41,0.007418,8,15,0.092,0.1725,0.0994,0.1725,0.0731,42.4
1XLyCDsKhGo.mp4,60.9,375.28,0.052122,50,60,0.575,0.69,0.6271,0.69,0.0629,9.1
2qS1ZSqwIgM.mp4,30.0,67.28,0.009345,25,29,0.2875,0.3335,0.2968,0.3335,0.0367,11.0
2v7lsnPvgtI.mp4,30.0,48.6,0.00675,8,30,0.092,0.345,0.0988,0.345,0.2462,71.4
2ywv_JCyolU.mp4,30.8,39.27,0.005454,11,30,0.1265,0.345,0.132,0.345,0.213,61.8
2VgiVK_hOhM.mp4,29.3,141.79,0.019693,24,29,0.276,0.3335,0.2957,0.3335,0.0378,11.3
2fQUYCPe3Cs.mp4,61.0,134.95,0.018743,9,60,0.1035,0.69,0.1222,0.69,0.5678,82.3
31pEZWaIhr0.mp4,31.3,30.33,0.004213,20,31,0.23,0.3565,0.2342,0.3565,0.1223,34.3
377kVIgBOJQ.mp4,30.5,24.2,0.003362,14,30,0.161,0.345,0.1644,0.345,0.1806,52.4
2qdW7ramMr4.mp4,107.9,139.99,0.019443,41,107,0.4715,1.2305,0.4909,1.2305,0.7396,60.1
2uT9fjUmm-M.mp4,64.0,127.18,0.017664,62,64,0.713,0.736,0.7307,0.736,0.0053,0.7
3FtNm9CgA6U.mp4,14.9,30.77,0.004273,4,14,0.046,0.161,0.0503,0.161,0.1107,68.8
39RQH0mpsVQ.mp4,51.7,50.58,0.007025,37,51,0.4255,0.5865,0.4325,0.5865,0.154,26.3
3KHSWaEamQc.mp4,15.0,36.31,0.005042,10,15,0.115,0.1725,0.12,0.1725,0.0525,30.4
2yO4-Oh-JP4.mp4,50.0,153.49,0.021319,48,49,0.552,0.5635,0.5733,0.5635,-0.0098,-1.7
3UOGKO7tM34.mp4,59.9,64.1,0.008903,19,59,0.2185,0.6785,0.2274,0.6785,0.4511,66.5
3d5id_cwHUM.mp4,21.0,52.14,0.007241,13,20,0.1495,0.23,0.1567,0.23,0.0733,31.9
3CJ-7R2g3NE.mp4,71.9,143.78,0.019969,43,71,0.4945,0.8165,0.5145,0.8165,0.302,37.0
3JsyhaGHq_E.mp4,48.0,128.43,0.017838,23,48,0.2645,0.552,0.2823,0.552,0.2697,48.9
3iHP5bBWFrw.mp4,15.6,42.65,0.005924,8,15,0.092,0.1725,0.0979,0.1725,0.0746,43.2
36CSS3UIzxk.mp4,30.0,182.44,0.025339,25,30,0.2875,0.345,0.3128,0.345,0.0322,9.3
3quMz-EAThw.mp4,65.3,36.91,0.005126,3,65,0.0345,0.7475,0.0396,0.7475,0.7079,94.7
3pNGO5ppfQ8.mp4,59.7,52.15,0.007243,10,59,0.115,0.6785,0.1222,0.6785,0.5563,82.0
3mmu60CNl0Y.mp4,63.4,74.5,0.010348,28,63,0.322,0.7245,0.3323,0.7245,0.3922,54.1
3KyvlMJefR4.mp4,79.6,183.89,0.02554,30,79,0.345,0.9085,0.3705,0.9085,0.538,59.2
3vaDzDzRH_c.mp4,65.1,78.88,0.010956,16,65,0.184,0.7475,0.195,0.7475,0.5525,73.9
