video_name,status,brand,product,ad_type,reduction_rate
-1yXdOufzKE.mp4,success,"{'brand_name_text': 'COLORADO', 'logo_visible': True, 'logo_timestamps': [27.4, 28.2], 'brand_text_contrast': 'high'}","{'product_name': 'Colorado Tourism', 'industry': 'Vacation and travel'}",brand_awareness,0.9158878504672897
-5X2kzIDroA.mp4,success,"{'brand_name_text': 'Bio', 'logo_visible': True, 'logo_timestamps': [52.8, 54.8, 55.6], 'brand_text_contrast': 'high'}","{'product_name': 'bio-pharmaceutical medicines', 'industry': 'Healthcare'}",brand_awareness,0.8066037735849056
-5zYYZpuTbU.mp4,success,"{'brand_name_text': 'Sword of Chaos', 'logo_visible': True, 'logo_timestamps': [28.2], 'brand_text_contrast': 'high'}","{'product_name': 'Sword of Chaos', 'industry': 'Games and toys'}",entertainment,0.9073359073359073
-DFuMqROFCQ.mp4,success,"{'brand_name_text': 'Coca-Cola', 'logo_visible': True, 'logo_timestamps': [28.1, 30.3], 'brand_text_contrast': 'medium'}","{'product_name': 'Coca-Cola', 'industry': 'Soda, juice, milk, energy drinks, water'}",brand_awareness,0.8958333333333334
-GXvYexMoZY.mp4,success,"{'brand_name_text': 'PlayStation', 'logo_visible': True, 'logo_timestamps': [3.7, 7.2, 8.9, 9.1, 10.8, 13.5, 16.3, 17.2, 18.8, 21.2, 23.1, 26.1, 28.8, 30.6, 33.6, 35.7, 36.9, 41.5, 44.7, 49.3, 51.1, 53.0, 54.4, 60.1, 63.1, 65.0, 68.3, 70.0, 72.9, 74.8, 77.8, 83.5, 84.5], 'brand_text_contrast': 'high'}","{'product_name': 'PlayStation VR', 'industry': 'Games and toys'}",entertainment,0.8457142857142858
-HWd3Nqu8_0.mp4,success,"{'brand_name_text': 'GAME OF WAR', 'logo_visible': True, 'logo_timestamps': [52.7, 53.4, 56.2, 57.2, 57.3, 58.8], 'brand_text_contrast': 'high'}","{'product_name': 'Game of War: Fire Age', 'industry': 'Games and toys'}",entertainment,0.726027397260274
-KSKkmypTZM.mp4,success,"{'brand_name_text': 'Late Show with David Letterman', 'logo_visible': False, 'logo_timestamps': [], 'brand_text_contrast': 'low'}","{'product_name': 'Late Show with David Letterman', 'industry': 'Media & Entertainment'}",entertainment,0.8620689655172413
-U3LjDN8ErI.mp4,success,"{'brand_name_text': 'tbs', 'logo_visible': True, 'logo_timestamps': [19.1], 'brand_text_contrast': 'high'}","{'product_name': 'Separation Anxiety', 'industry': 'Media and arts'}",entertainment,0.7096774193548387
-UGQp9pfU_Q.mp4,success,"{'brand_name_text': 'NESCAFÉ Classic', 'logo_visible': True, 'logo_timestamps': [13.4, 14.0, 18.6, 23.2, 24.9, 56.1], 'brand_text_contrast': 'high'}","{'product_name': 'NESCAFÉ Classic', 'industry': 'Food & Beverage'}",product_demo,0.8314176245210728
-VmCOAGhHkM.mp4,success,"{'brand_name_text': 'Rosetta Stone', 'logo_visible': True, 'logo_timestamps': [0.0], 'brand_text_contrast': 'high'}","{'product_name': 'Rosetta Stone language learning software', 'industry': 'Software'}",entertainment,0.8095238095238095
-XidtaAetyQ.mp4,success,"{'brand_name_text': 'American Petroleum Institute (API)', 'logo_visible': True, 'logo_timestamps': [14.0], 'brand_text_contrast': 'high'}","{'product_name': 'Pro-energy policies advocacy', 'industry': 'Energy'}",testimonial,0.7619047619047619
-XzQcpcgCKY.mp4,success,"{'brand_name_text': 'Balzac', 'logo_visible': True, 'logo_timestamps': [16.4, 16.8, 17.3, 18.1, 19.2, 19.9, 20.6, 25.2, 25.6, 26.4, 26.6, 27.8], 'brand_text_contrast': 'high'}","{'product_name': 'Balzac Balloon Ball', 'industry': 'Games and toys'}",product_demo,0.8652173913043478
-aR3Gpsn4v4.mp4,success,"{'brand_name_text': ""Obama '08"", 'logo_visible': True, 'logo_timestamps': [29.9], 'brand_text_contrast': 'high'}","{'product_name': 'Barack Obama (Presidential Candidate)', 'industry': 'Political Campaign'}",testimonial,0.8913043478260869
